,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Quoted Tweet,Reviewer,Review
45-11,3/29/2023 7:40:18 PM,https://twitter.com/crimmyboi/status/1591456512547115009,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@crimmyboi,crim ◹,🇵🇭 | it/they • lesbian | ⏳🌿🪶🧟‍♀️🔨 • hololive enjoyer | i tweet ALOT and draw sometimes | pfp: @mogufuuri 🥹🫶,Anonymous,2021-09-12 13:49:28+00:00,268,1288,Unidentified,the peso is weak not because its weak but because the dollar is strong!!,,Text,2022-11-12 15:42:55+00:00,,Rational,15,2,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,location based on flag on the bi,No Quoted,,
45-12,3/29/2023 7:49:58 PM,https://twitter.com/mariaeh___/status/1590214301247475712,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@mariaeh___,yeye ⭐️🐠,Lee Ji-eun |The Bunker Babies| 아이유애나| 마마무,Anonymous,2019-09-18 01:48:53+00:00,432,1035,Philippines,“the peso is weak because the dollar is strong” 🥲,,"Text,Quote",2022-11-09 05:26:48+00:00,,Rational,7,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,fake location,No Quoted,,
45-13,3/30/2023 12:32:07,https://twitter.com/xd_lem/status/1588910663925387264,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@xd_lem,lem !!!,"ngl.link/lemzaddy
tutor/nerd | Kayabe (formerly SS) AcadComm Co-Head | PKIT PIC of Chem 2 🏳️‍🌈 clc '23 Arahuyo (Dunning-Kruger Effect at work; 30/90)",Anonymous,2019-05-04 07:56:35+00:00,466,410,Philippines,"its giving ""the peso is not weak because the peso is not weak, the peso is weak because the dollar is strong"" pt.2",,"Text,Quote",2022-11-05 15:06:37+00:00,,Rational,16,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,am not sure if anonymous and unidentified ung account and loc cuz of their bio,No Quoted,,
45-14,3/29/2023 21:57:16,https://twitter.com/bluishrad/status/1588596162155929601,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@bluishrad,Blur,💀,Anonymous,2021-01-08 16:16:42+00:00,114,65,Philippines,"The peso is weak because the dollar is strong

F",,"Text,Quote",2022-11-04 18:16:54+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-15,3/30/2023 12:37:59,https://twitter.com/purpleskie_/status/1588157498954944512,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@purpleskie_,muning,ㅡ EXO • treasure • BL • offgun • v33wise • BLCK mlbb | fan account,Anonymous,2021-08-21 18:01:59+00:00,524,409,Philippines,dollar strong and peso is weak 😭 ate chantelle anuba hahhahahahahahahha,,Text,2022-11-03 13:13:48+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/greg_ip/status/1588353449187373056,,
45-16,3/30/2023 12:39:09,https://twitter.com/jujutaebear/status/1588092933781479425,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@jujutaebear,Ju 🧸,,Anonymous,2021-09-11 18:40:18+00:00,349,754,Philippines,Peso is weak not bec it's weak. Peso is weak bec dollar is strong 💪💪🥴🥴,,"Text,Quote",2022-11-03 08:57:15+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-17,3/30/2023 12:41:01,https://twitter.com/czarina_erica/status/1588078669704364032,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@czarina_erica,czarina,,Identified,2009-07-26 14:12:40+00:00,413,170,Unidentified,hindi nga daw weak ung peso! strong nga lang daw ung dollar! kulet nyo powz 😆,,"Text,Quote",2022-11-03 08:00:34+00:00,,Emotional,2,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,"account type based on handle; content type may be emotional cuz of ""kulet nyo powz""",https://twitter.com/PhilippineStar/status/1588063740486115328,,
45-18,3/30/2023 1:17:23,https://twitter.com/lula999999999/status/1588072268302729217,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@lula999999999,🖤🤟_betty choi_🤟,"❤❤❤love oppa choi__ wonkyu lover__ 
🤸🏻‍♂️🐎🤴🕺🕺EUNSIHAE fanatic",Anonymous,2013-12-28 10:55:20+00:00,1338,2863,Philippines,The peso is weak not because the peso is weak . It is because the dollar is strong.. 🥴🫢🫣🤔🥱,,"Text,Quote",2022-11-03 07:35:08+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/cnnphilippines/status/1588063808441810944,,
45-19,3/30/2023 12:56:22,https://twitter.com/meteor134/status/1588065679009550336,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@meteor134,Dan Nieva,Just an engineer wasting his life savings for video game waifus...,Identified,2012-10-08 12:30:56+00:00,362,254,Philippines,"Baguhin dapat nila wording:

FROM ""due to the weakening of the peso""
TO ""due to the strengthening of the dollar""

Kasi diba the peso is weak because the dollar is strong? Hahahahaha",,"Text,Quote",2022-11-03 07:08:57+00:00,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/cnnphilippines/status/1588063808441810944,,
45-20,3/30/2023 12:57:44,https://twitter.com/CinabihanNgCute/status/1587736600833728513,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@CinabihanNgCute,Cina,she/they | just breathing,Anonymous,2021-06-03 13:29:38+00:00,82,69,Philippines,Peso not weak. Dollar strong. https://t.co/kvNd8nQVgj,,"Text,Image",2022-11-02 09:21:19+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/heyyongqin/status/1587815921888145408,,
45-21,3/30/2023 12:58:29,https://twitter.com/vigilantelore/status/1587440551745363969,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@vigilantelore,kr,(gay)i-dle,Anonymous,2022-03-28 06:14:21+00:00,62,9,Philippines,me when the peso is not weak because peso is weak peso is weak because dollar is strong,,"Text,Quote",2022-11-01 13:44:55+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-22,3/30/2023 12:59:37,https://twitter.com/Daniel4Eu/status/1587079325404213249,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@Daniel4Eu,Daniel,"Kpop stan
Manhwa/Mangga reader
A minor 🙂",Anonymous,2021-02-07 09:43:11+00:00,146,7,Philippines,Grabe nanaman kayo ang sasama niyo alam niyo namang The peso in not weak because the dollar is strong The dollar is strong because the peso is weak,,"Text,Quote",2022-10-31 13:49:32+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/markgeronimo_/status/1586974879072428032,,
45-23,3/30/2023 13:00:30,https://twitter.com/cheekyhyo/status/1587022348682526720,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@cheekyhyo,🦖,#DAWN: peace is where the dinosaurs are 🦕,Anonymous,2018-07-07 01:57:52+00:00,435,590,Philippines,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong,,"Text,Quote",2022-10-31 10:03:08+00:00,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/_mo4d_/status/1586641067256205312,,
45-24,3/30/2023 13:07:38,https://twitter.com/PHTanodBayan/status/1586654248070443008,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@PHTanodBayan,PHTanodBayan,𝗠𝗜𝗦𝗬𝗢𝗡: Magpuna para Iwasto ang Maling Nakasanayan.,Anonymous,2021-04-04 04:20:08+00:00,759,117,Philippines,"More like wala na kasing natural gas sa Malampaya at kailangan na nating umangkat. Yun lang the peso is weak because the dollar is strong.

Energy crisis is imminent.",,"Text,Quote",2022-10-30 09:40:26+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/pinoy_reaction/status/1586934886585499648,,
45-25,3/30/2023 13:24:01,https://twitter.com/nrikism/status/1586577380394815489,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@nrikism,ًaire,"jumbo hotdog, kaya mo ba toh? hindi mo siya kaya tama ka na",Anonymous,2022-08-11 05:46:48+00:00,985,810,Philippines,"#NewProfilePic the peso is not weak because the peso is weak 

The peso is weak because the dollar is strong https://t.co/CllX7I6lbQ",,"Text,Image",2022-10-30 04:34:59+00:00,,Rational,3,0,0,1,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/heartofemmaus/status/1581670046790606848,,
45-26,3/30/2023 13:27:23,https://twitter.com/khenzeel13/status/1586561774903758848,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@khenzeel13,Techoree,"The Witty Kid, 
Babaylan Blood,
Writer,
Reader in Wattpad,
Un Fanatique De Sports,
Un Amoureux De la Nourriture,
Engaged to Mr. Right",Anonymous,2012-05-27 16:45:54+00:00,472,20,Philippines,The Peso is not weak because the dollar is strong. The President is not weak because the typhoon is strong. 😀🤔🤭,,"Text,Quote",2022-10-30 03:32:58+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-27,3/30/2023 13:29,https://twitter.com/arstuvv/status/1585539915290652672,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@arstuvv,aria bading,MY JINJI,Anonymous,2021-12-28 08:29:35+00:00,151,177,Philippines,The peso js not weak because the peso is weak the peso is weak because the dollar is strong,,Text,2022-10-27 07:52:28+00:00,,Rational,1,0,1,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-28,3/30/2023 13:30:17,https://twitter.com/jailedout/status/1585377961456599040,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@jailedout,Chad from Finance,aussie in the making,Anonymous,2022-07-07 14:20:25+00:00,50,45,Philippines,"bru all i know for gen info is that the peso is not weak because the peso is weak, the peso is weak because the dollar is strong",,Text,2022-10-26 21:08:55+00:00,,Rational,4,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-29,3/30/2023 13:31:05,https://twitter.com/mgb819/status/1585248031766904833,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@mgb819,manolo,left of center; will not tolerate tyranny; certified duathlete who believes there are only 2 kinds of people in this world...those who either love or hate me,Anonymous,2010-07-14 07:41:21+00:00,304,600,Philippines,What are these maggots snorting? Their logic are similarly warped like “peso is not weak only because dollar is strong” or “inflation is not that high” https://t.co/Zn1s7exmk0,,"Text,Image",2022-10-26 12:32:37+00:00,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-30,3/30/2023 13:37:15,https://twitter.com/najinyangii/status/1584805910459060224,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@najinyangii,borimeowジア HBD RENJUN LOVE,: ̗̀➛ 299792% stan acc .ᐟ ◡̈ ¡ saw 18/22 neos — tds2 🔜,Anonymous,2021-12-23 06:28:05+00:00,619,534,Philippines,"peso is not weak because it is weak, peso is weak because dollar is strong",,"Text,Quote",2022-10-25 07:15:47+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/The_PinkWarrior/status/1584796757678256128,,
45-31,3/30/2023 13:38:27,https://twitter.com/hamada91k/status/1584576640205877249,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@hamada91k,lorens 🌼,"💎 teume, tokki and my. stan my sisters tripleS",Anonymous,2020-09-05 18:35:51+00:00,291,53,Philippines,"the peso isnt weak because the peso is weak, the peso is weak because the dollar is strong",,"Text,Quote",2022-10-24 16:04:45+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-32,3/30/2023 13:39:33,https://twitter.com/malebag1999/status/1584390358435176449,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@malebag1999,malebag,"#ProLife #ProDemocracy #AdvocateOfHR #GoodGovernance
What goes around, comes around. Calling out govt lapses is your constitutional right.",Anonymous,2022-09-29 06:14:24+00:00,337,109,Philippines,"FPLBM: Our economy is strong. It's the other nations' economies that are weak that affected ours.

Sandra: The Peso is not weak because it is weak. The Peso is weak because the US Dollar is strong.

Babaeng Ahas: Ang galing ng mag-ama ko.

Creative Scriptwriter: Beli gud.",,"Text,Quote",2022-10-24 03:44:32+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/Suno0o0o0o/status/1584479683848335360,,
45-33,3/30/2023 13:40:28,https://twitter.com/teddycasino/status/1584366806449676288,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@teddycasino,Teddy Casiño,"Former Bayan Muna congressman, activist, father of two.",Media,2009-04-25 07:51:50+00:00,377,51808,Unidentified,The peso is weak because the dollar is strong.,,"Text,Quote",2022-10-24 02:10:57+00:00,,Rational,3,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/News5PH/status/1584111910714150912,,
45-34,3/30/2023 13:43:20,https://twitter.com/reejeweled/status/1583842989863903232,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@reejeweled,reese,venturing outside my comfort zone,Anonymous,2020-08-13 13:31:01+00:00,55,35,Philippines,hi @.gaon at @.hyunjin chat naman kayo sakin sayang 428 php ko alam niyo namang the peso is not weak because the peso is weak. the peso is weak because the dollar is strong */nagtampo,,Text,2022-10-22 15:29:29+00:00,,Emotional,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,"emotional cuz of ""nagtampo""",No Quoted,,
45-35,3/30/2023 13:44:46,https://twitter.com/scaravhs/status/1583823590520422402,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@scaravhs,soren.,ic : @_sonagee !!,Anonymous,2021-11-30 13:49:35+00:00,475,582,Philippines,"sa letrang t

the peso is weak not because the peso is weak. The peso is weak because the dollar is strong.",,Text,2022-10-22 14:12:24+00:00,,Rational,2,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-36,3/30/2023 14:08:55,https://twitter.com/_isnotyours/status/1583698082797342721,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@_isnotyours,ً,shallow,Anonymous,2018-06-09 15:31:31+00:00,40,305,Philippines,"its giving me peso is weak because the dollar is strong 😔
#MissQandAQueenfinityWar",,Text,2022-10-22 05:53:41+00:00,,Rational,0,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-37,3/30/2023 14:13:24,https://twitter.com/ruru_travis/status/1583255971081527297,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@ruru_travis,kaylee || 📚🐸,"🌿she/her 피로~ INFJ

트레저, 엑소, 스트레이 키즈, 갓세븐, 엔시티

#ruru_travisFeedbacks #ruru_travisProofs",Anonymous,2020-12-25 15:07:42+00:00,1178,1357,Unidentified,the peso is weak because the dollar is strong,,Text,2022-10-21 00:36:53+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/_Allan_Bernabe_/status/1583197367624290304,,
45-38,3/30/2023 14:19:48,https://twitter.com/mariaconcioo/status/1583103248692842496,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@mariaconcioo,maria -_-,sexiest person you'll ever meet,Identified,2020-10-20 05:58:23+00:00,48,59,Unidentified,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong,,Text,2022-10-20 14:30:01+00:00,,Rational,0,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/PhilippineStar/status/1583034100927332352,,
