ID,FLAG,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Quoted Tweet,Reviewer,Review
45-11,REJECT,,https://twitter.com/KMxrtxn/status/1599249964009689089,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@KMxrtxn,Hakuna Matata,He is dying please save him.,ERROR,2022-08-11 22:13:26+00:00,35,6,,"The dollar is not  weak, because the dollar is weak, The dollar  is weak because the peso is strong.",,,2022-12-04 03:51:18+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-12,ACCEPT,3/26/2023 15:35:07,https://twitter.com/ngong_z/status/1598997629773697024,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@ngong_z,midnight iris ตั้งใจหายดี,she on meds. stanning isn't a full time job.,Anonymous,2013-05-12 07:06:29+00:00,198,27503,Philippines,"the philippines: economic crisis
the concerts: the peso isn't weak because the peso is weak. the peso is weak because the dollar is strong",,Text,2022-12-03 11:08:37+00:00,, Emotional,143,5,43,9,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-13,ACCEPT,3/26/2023 15:37:03,https://twitter.com/ANGBAYANKO3/status/1598922069282283520,47,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@ANGBAYANKO3,ANG BAYAN KO,tunay na makabayan ay lumalaban sa mapanlinlang,Anonymous,2022-10-15 03:45:51+00:00,45,46,Unidentified,"the dollar is weak because kakampinks are non sense, the peso is strong because the Govt is working good.
LENIE AND THE YELLOWPINKTARDS MGA BASURA SA BANSA",,"Text,Quote",2022-12-03 06:08:22+00:00,, Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/manilabulletin/status/1598604165730643968,,
45-14,ACCEPT,3/26/2023 15:41:08,https://twitter.com/ANGBAYANKO3/status/1598857349066002432,47,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@ANGBAYANKO3,ANG BAYAN KO,tunay na makabayan ay lumalaban sa mapanlinlang,Anonymous,2022-10-15 03:45:51+00:00,45,46,Unidentified,"so the dollar is weak because the kakampinks are strong in trolling,  or the PESO is strong because the  Government WORKING GOOD?",,"Text,Quote",2022-12-03 01:51:12+00:00,, Emotional,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/_miggypot29/status/1598618232876716032,,
45-15,HELP,3/26/2023 15:47:26,https://twitter.com/Chrisharyce/status/1598655872682831873,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@Chrisharyce,🄵🄸🄺🄰,,Anonymous,2014-07-20 04:39:31+00:00,64,48,Philippines,"KAYA NAGMAHAL ANG BILIHIN DAHIL MAHINA ANG PURCHASING POWER NG PILIPINAS. THAT’S IT.

“THE PESO IS WEAK BECAUSE THE DOLLAR IS STRONG.” ULUL!!!!!! DIM-WITTED!!!! DULDUG KA KINAM. SUPORTADO KA PA SA HOUSE BILL 6398.",,Text,2022-12-02 12:30:36+00:00,, Emotional,2,0,0,0,Unidentified,FACT,,,No Quoted,,
45-16,HELP,,https://twitter.com/ReginaMLagos1/status/1598634981114675200,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@ReginaMLagos1,Beauty,Life is short...be happy...think positive...smile ...😀😀😀,ERROR,2021-10-19 11:16:39+00:00,676,486,,The peso is strong now.. because the dollar is weak..because we have a strong President...😀😀😀 https://t.co/2wv2ukEoYt,,,2022-12-02 11:07:35+00:00,,,30,1,8,3,Unidentified,ERROR,,,No Quoted,,
45-17,ACCEPT,3/26/2023 15:51:25,https://twitter.com/altGenie/status/1598617532747116544,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@altGenie,Gene Altamonte,,Anonymous,2020-04-20 14:23:26+00:00,107,800,Philippines,"Peso rises vs Dollar. But why? Is it bcoz PHP got stronger? No. USD falls due to dovish Fed outlook. So PHP can look strong when USD weakens. Consequently, PHP can look weak when USD strengtens: The Peso is weak not bcoz it's weak, but bcoz the Dollar is strong. Sandro was right. https://t.co/8JIjU6aYzB",,"Text,Image",2022-12-02 09:58:15+00:00,, Rational,91,5,16,2,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-18,HELP,,https://twitter.com/oiger/status/1598500225794322432,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@oiger,ETF,hater,ERROR,2009-03-14 06:21:55+00:00,788,202,,the peso is strong because the dollar is weak? or the pesos is strong because bbm is strong?,,,2022-12-02 02:12:07+00:00,,,0,1,0,0,Unidentified,ERROR,,,No Quoted,,
45-19,ACCEPT,3/26/2023 15:55:12,https://twitter.com/lcve214/status/1597257779613687810,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@lcve214,ً,logged out 😶‍🌫️,Anonymous,2022-09-07 23:57:25+00:00,42,42,Philippines,the peso is weak because the dollar is strong,,Text,2022-11-28 15:55:04+00:00,, Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-20,HELP,,https://twitter.com/nextdoornathan/status/1596845952555683841,48,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@nextdoornathan,Nathan ネイサン🌸👑🐠🐔🌞,Ninong of the Drag Queens | Corazon Stalker | Westerosi Spy | Lead Singer - House of Xtina | Medics4AngatBuhay | Next Door Kuya | Eva VS iPhone 14 | Blacklawan,ERROR,2022-02-13 05:43:41+00:00,910,4747,,"It's not that the PESO is STRONG

It's just that... the DOLLAR is WEAK

WAAHAHAHHA ANO KA NGAUN, SANDRO",,,2022-11-27 12:38:37+00:00,,,3,0,0,0,Unidentified,ERROR,,,https://twitter.com/jclem3/status/1596776549294182402,,
45-21,REJECT,,,48,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@ronaldgem,Roentgen,"Communications Director, @iMPACTPH2019 • 37th UPLB USC Chairperson • BS ChE • Finalist, 8th Philippine National Chemistry Olympiad 📧 rgcelestial@gmail.com",ERROR,2011-08-07 04:37:13+00:00,2660,11690,,"ORIGINAL VS. FAKE

The now-viral quote card of Sandro Marcos supposedly commenting on the price of red onions is FAKE.

The card being reposted is an edited version of an Inquirer card where he commented on the weakening PHP, saying ""The peso is weak because the dollar is strong"" https://t.co/EKW34Q3k42",,,2022-11-26 03:25:24+00:00,,,394,11,80,31,Unidentified,ERROR,,,No Quoted,,
45-22,ACCEPT,3/30/2023 12:03:10,https://twitter.com/mgb819/status/1596036130087919616,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@mgb819,manolo,left of center; will not tolerate tyranny; certified duathlete who believes there are only 2 kinds of people in this world...those who either love or hate me,Anonymous,2010-07-14 07:41:21+00:00,304,600,Philippines,It’s as significant as when the moron declared “I would like to make one thing clear…the peso is not weak because the peso is weak. The peso is weak because the dollar is strong”,,"Text,Quote",2022-11-25 07:00:40+00:00,, Emotional,5,0,0,0,Unidentified,FACT,,,https://twitter.com/manilabulletin/status/1595980773680562176,,
45-23,HELP,,https://twitter.com/ozellethegemini/status/1594347675151118337,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@ozellethegemini,zεℓ,"Travel now, pulubi later 💸✈️️ Running man fan 🏃 Lee Kwang Soo 🦒 Minsan spoiler ng Kdramas 💋 My tweets are full of rant so don’t follow me 🤣",ERROR,2010-06-27 10:37:07+00:00,84,77,,"G: May artista siguro, dami bodyguards
O: San?
G: Sabi na e *nakita si “The peso is weak because the dollar is strong” sa loob ng isang store habang yung bodyguards nasa labas lang 🤣*
O: Artista ba yan? Pakielam ko dyan. Yaan mo sya. Day off nya linggo daw! 😂",,,2022-11-20 15:11:21+00:00,,,0,1,0,0,Unidentified,ERROR,,,No Quoted,,
45-24,REJECT,,https://twitter.com/WinwinEklabu/status/1593320852917190656,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@WinwinEklabu,Mr.Winwin_Situation,"I am proud to be part of ""The 31 Million Strong""",ERROR,2015-12-09 08:54:29+00:00,6461,7098,,"Ano to bumababa ang presyo ng dolyar. Iyak na mga Kakampwets.😅 Spread the news ! ! 

The dollar is weak not because the dollar is weak. 
The dollar is weak because the Peso is strong.🤭🤭 https://t.co/YVUkcBpogC",,,2022-11-17 19:11:08+00:00,,,42,2,13,2,Unidentified,ERROR,,,No Quoted,,
45-25,ACCEPT,3/30/2023 12:18:49,https://twitter.com/FOCAP2020/status/1591611810091876356,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@FOCAP2020,FOCAP,The official Twitter account of the Foreign Correspondents Association of the Philippines. Founded in 1974 to safeguard press freedom.,Media,2018-07-24 06:16:34+00:00,118,1955,Unidentified,"Ano ang masasabi mo sa pahayag na ""the peso is weak because the dollar is strong""? Share your thoughts in the comment section below.

Talakayin natin ang estado ng ating ekonomiya sa 2nd episode ng #ThinkTalk  hosted by @atomaraullo ngayong November. Abangan! #TruthBeTold https://t.co/xE2yCpRSj6",,"Text,Image",2022-11-13 02:00:00+00:00,, Transactional,1,1,2,0,Unidentified,FACT,,,No Quoted,,
45-26,ACCEPT,3/29/2023 7:40:18 PM,https://twitter.com/crimmyboi/status/1591456512547115009,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@crimmyboi,crim ◹,🇵🇭 | it/they • lesbian | ⏳🌿🪶🧟‍♀️🔨 • hololive enjoyer | i tweet ALOT and draw sometimes | pfp: @mogufuuri 🥹🫶,Anonymous,2021-09-12 13:49:28+00:00,268,1288,Unidentified,the peso is weak not because its weak but because the dollar is strong!!,,Text,2022-11-12 15:42:55+00:00,, Rational,15,2,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,location based on flag on the bi,No Quoted,,
45-27,REJECT,,https://twitter.com/Joelcptl/status/1591034864161415170,49,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@Joelcptl,CAPT XRP (xum/xwm),crypto holder,ERROR,2021-10-04 09:10:17+00:00,169,279,,"The dollar is weak not because the PESO is strong.  
Asan na yung mga experts natin dyan sa ekononiya paki explain nga. https://t.co/xrBIJcwlrL",,,2022-11-11 11:47:26+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-28,REJECT,,https://twitter.com/dalawatayo/status/1590326192707874816,49,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@dalawatayo,lakbay,"Kung taga hanga ka nanonood ka kita mo ang daming kapalpakan naka titig ka lang bagsak ang panga mo, suporta ka rin ba? Hindi pa huli ang lahat. Bayan muna",ERROR,2010-08-20 20:19:47+00:00,583,1489,,Pagalingan ang mga law makers. May cable cars ban ang kdrama may dragon fruit meron din peso is not weak the dollar is just strong. Tapos si Zubiri mas ok daw dito ang journalists kesya China. Eh bakit compare sa mas mabulok at hindi ang gawing batayan ay yung mataas ang standard,,,2022-11-09 12:51:25+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-29,ACCEPT,3/29/2023 7:49:58 PM,https://twitter.com/mariaeh___/status/1590214301247475712,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@mariaeh___,yeye ⭐️🐠,Lee Ji-eun |The Bunker Babies| 아이유애나| 마마무,Anonymous,2019-09-18 01:48:53+00:00,432,1035,Philippines,“the peso is weak because the dollar is strong” 🥲,,"Text,Quote",2022-11-09 05:26:48+00:00,, Rational,7,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,fake location,https://twitter.com/polalovesiu888/status/1590212349423943680,,
45-30,REJECT,,https://twitter.com/danizzii/status/1590193846784516096,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@danizzii,MARIA GAGITA #NeverAgain,"she/her. upd. feminist. mindanawan. associate @PANTAYtayo. views are mine. Serbisyuhan ang Katawhan! ✉️ dgchaves@up.edu.ph
#SafeSpacesNow #SaveLumadSchools",ERROR,2018-05-28 14:56:09+00:00,506,430,,"Huy unsa mani 💀 It's giving the peso is not weak because the dollar is strong 🥴

Is this the future of IIT's representative to the MSU Board of Regents? Yikes.

Pub from @TheSilahisPub https://t.co/J5Cix83Kwp",,,2022-11-09 04:05:32+00:00,,,115,1,12,8,Unidentified,ERROR,,,No Quoted,,
45-31,REJECT,,https://twitter.com/mmmrycha/status/1589912801686192128,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@mmmrycha,emslul,pakasalan mo ko taglamig🫣🙏🙏,ERROR,2021-02-24 02:16:53+00:00,76,16,,"""the dollar is strong because the peso is weak"" yan bobo mo tsaka yung tatay mo e",,,2022-11-08 09:28:45+00:00,,,0,1,0,0,Unidentified,ERROR,,,https://twitter.com/cnnphilippines/status/1589910314807853056,,
45-32,REJECT,,https://twitter.com/ethanreddavid/status/1589808578642477056,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@ethanreddavid,Ethan David Osteopath,half French/Filipino,ERROR,2017-11-07 04:14:03+00:00,433,636,,Walang Alam ang mga Marcos konde ang Alam mag party party mag attend ng mga events kumanta sumayaw magpayaman sa pwesto habang marami Pilipino gutom at naghihirap sa mga ng tataasan mga bilihin at bayaran the peso is weak because the dollar is strong 😂🤣,,,2022-11-08 02:34:37+00:00,,,0,0,0,0,Unidentified,ERROR,,,https://twitter.com/lcmlaw_ph/status/1589127873440665600,,
45-33,REJECT,,https://twitter.com/ethanreddavid/status/1589140718366650371,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@ethanreddavid,Ethan David Osteopath,half French/Filipino,ERROR,2017-11-07 04:14:03+00:00,433,636,,"Tangina yan palitan ko na yang Sandro after sa peso is weak because the dollar is strong, ayan nanaman sya sa dragon fruit 🤣😂",,,2022-11-06 06:20:46+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-34,ACCEPT,3/30/2023 12:32:07,https://twitter.com/xd_lem/status/1588910663925387264,50,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@xd_lem,lem !!!,"ngl.link/lemzaddy
tutor/nerd | Kayabe (formerly SS) AcadComm Co-Head | PKIT PIC of Chem 2 🏳️‍🌈 clc '23 Arahuyo (Dunning-Kruger Effect at work; 30/90)",Anonymous,2019-05-04 07:56:35+00:00,466,410,Philippines,"its giving ""the peso is not weak because the peso is not weak, the peso is weak because the dollar is strong"" pt.2",,"Text,Quote",2022-11-05 15:06:37+00:00,, Rational,16,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,am not sure if anonymous and unidentified ung account and loc cuz of their bio,https://twitter.com/iMPACTPH2019/status/1588793323464294400,,
45-35,REJECT,,https://twitter.com/0manignat/status/1588854092474249224,50,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@0manignat,DM not working properly,"He/Him, 2000

Buy and Sell, Fan Account ( not affiliated with

SVT, EN-, Fromis, Kep1er, LESSERAFIM )",ERROR,2018-09-23 14:35:23+00:00,607,415,,"""di related ang kpop at politics""

pota sizt ang mahal na sa ktown4u ngayon bec the peso is weak not bec the dollar is strong bla bla",,,2022-11-05 11:21:49+00:00,,,2,1,0,0,Unidentified,ERROR,,,No Quoted,,
45-36,ACCEPT,3/29/2023 21:57:16,https://twitter.com/bluishrad/status/1588596162155929601,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@bluishrad,Blur,💀,Anonymous,2021-01-08 16:16:42+00:00,114,65,Philippines,"The peso is weak because the dollar is strong

F",,"Text,Quote",2022-11-04 18:16:54+00:00,, Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/gmanews/status/1588336311752331265,,
45-37,REJECT,,https://twitter.com/forestjarvis/status/1588507300175970305,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@forestjarvis,Forest 🌴🌿🌳 Botial-Jarvis,"Working in gender and development, pretending to know things about economics. Birder. He/him",ERROR,2018-10-20 02:32:39+00:00,1804,396,,Very funny seeing Americans complain about inflation and the dollar being weak while in the Philippines they complain about the dollar being too strong and making the Peso weaker,,,2022-11-04 12:23:48+00:00,,,0,0,0,0,Unidentified,ERROR,,,https://twitter.com/greg_ip/status/1588353449187373056,,
45-38,ACCEPT,3/30/2023 12:37:59,https://twitter.com/purpleskie_/status/1588157498954944512,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@purpleskie_,muning,ㅡ EXO • treasure • BL • offgun • v33wise • BLCK mlbb | fan account,Anonymous,2021-08-21 18:01:59+00:00,524,409,Philippines,dollar strong and peso is weak 😭 ate chantelle anuba hahhahahahahahahha,,Text,2022-11-03 13:13:48+00:00,, Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-39,ACCEPT,3/30/2023 12:39:09,https://twitter.com/jujutaebear/status/1588092933781479425,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@jujutaebear,Ju 🧸,,Anonymous,2021-09-11 18:40:18+00:00,349,754,Philippines,Peso is weak not bec it's weak. Peso is weak bec dollar is strong 💪💪🥴🥴,,"Text,Quote",2022-11-03 08:57:15+00:00,, Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/PhilippineStar/status/1588063740486115328,,
45-40,ACCEPT,3/30/2023 12:41:01,https://twitter.com/czarina_erica/status/1588078669704364032,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@czarina_erica,czarina,,Identified,2009-07-26 14:12:40+00:00,413,170,Unidentified,hindi nga daw weak ung peso! strong nga lang daw ung dollar! kulet nyo powz 😆,,"Text,Quote",2022-11-03 08:00:34+00:00,, Emotional,2,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,"account type based on handle; content type may be emotional cuz of ""kulet nyo powz""",https://twitter.com/cnnphilippines/status/1588063808441810944,,
