ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Quoted Tweet,Reviewer,Review
45-396,4/18/2023 23:35:02,https://twitter.com/Nine19914/status/1579989842330800128,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@Nine19914,Marco Romero ⎊,"Jack of all trades, master of none but oftentimes better than a master of one.",Identified,11/20,927,857,"Maine, USA","Ano kaya mali sa sinabi ni Sandro na ‘The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” Eh may explanation naman si Sandro, hetong mga kakampoque na mga to, ayaw sa spliced pero ayaw rin manuod or magbasa ng buo. Tatanga nyo.",,Text,10/12/2022 0:18,,Emotional,1,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-399,4/18/2023 23:36:38,https://twitter.com/Samantha0797/status/1579987168654553088,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@Samantha0797,SaJ❤💚✌👊,"Mrs. A❤️❤️❤️

Simply me...😊😜😍😘

still A-Fan☺️

 Love is Love is Love is Love...❤❤❤",Anonymous,7/20,1046,1245,Up North,"Funny how critics laugh about what sir Cong. Sandro said, see he's just saying that our money(the peso) is not weak 'coz it's weak, it's just that dollar became strong bec. the US dictates it, but come to think of it, Dollar is a ""Fiat Money"" why? Bec. They don't have gold 👇🏻 https://t.co/TSH4RXtZfy",,"Text,Image",10/12/2022 0:07,,Rational,7,2,0,1,Unidentified,NEED CONTEXT,,,No Quoted,,
45-402,4/18/2023 23:38:04,https://twitter.com/whosjanriz/status/1579981390489088000,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@whosjanriz,jaja,nice and naive,Anonymous,8/17,92,516,!,the peso is not weak because the peso is weak the peso is weak because the dollar is strong,,Text,10/11/2022 23:44,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-408,4/18/2023 11:14:01,https://twitter.com/imaimhetta/status/1579969379953184770,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@imaimhetta,Michi Michi Anune 😎,Omnia mei dona Dei,Anonymous,9/6,250,270,Earth,Mga wa kasabot nalibog kay Sandro. But he’s right. The Ph Peso is weak because the US dollar is strong.,,Text,10/11/2022 22:57,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-410,4/18/2023 11:43:43,https://twitter.com/datumx11/status/1579956080947638273,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@datumx11,YoursTruly,"For a better Philippines, good governance and Global peace",Anonymous,5/16,3408,17723,,"Sandro Marcos says peso is weak not because it’s weak: Dollar is just strong now https://t.co/uh0XfGs8iv

Sandro is not weak because his dad is weak.",,"Text,URL",10/11/2022 22:04,,Rational,28,9,3,1,Unidentified,NEED CONTEXT,,,No Quoted,,
45-414,4/18/2023 11:48:23,https://twitter.com/CoffeeWithIhan/status/1579932055521329155,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@CoffeeWithIhan,ɪan,Always believe something wonderful is about to happen | @ianameliza | 11/19/21 | 𝐴𝑚𝑜𝑟 𝐹𝑎𝑡𝑖 | facebook.com/CoffeeWithIhan,Anonymous,4/15,1138,538,IMLL,"Sandro makes sense, kinda, peso is actually weak but to an extent since the dollar is getting strong due to the Federal Reserve Policy.

So yes peso is weak daw but not that weak is what he is saying.",,Text,10/11/2022 20:28,,Rational,3,1,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-415,4/18/2023 11:50:49,https://twitter.com/bipolART_/status/1579928217888358400,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@bipolART_,ガルフ ღ🤍,"ELF | WANDERLUST| 🌑🌙⭐️🌻
Superjunior | GULF 🧡🌻
Fujoshi
10.02.22 (met GKW)
vernon's",Anonymous,3/14,442,268,SuperJuniors ♥ ღ,"The peso is not weak because the peso is weak, the peso is weak because the dollar is strong and I am strong when I am on your shoulder, you raise me up to more than I can be.",,Text,10/11/2022 20:13,,Emotional,10,0,1,2,Unidentified,NEED CONTEXT,,,No Quoted,,
45-416,4/18/2023 11:51:32,https://twitter.com/sumalashishiiii/status/1579908526645776384,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@sumalashishiiii,D✘nica 💜,i bleed monochrome diamonds instead of blood,Anonymous,8/20,123,143,🦌,THE PESO IS WEAK BECAUSE THE DOLLAR IS STRONG &gt;&gt;&gt; PEOPLE DIE IF THEY ARE KILLED,,Text,10/11/2022 18:55,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-418,4/18/2023 11:53:19,https://twitter.com/meytienza_8/status/1579901071379828736,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@meytienza_8,MJean,Retiree and critic to corrupt government officials,Anonymous,9/11,432,443,,I would like to make one thing clear. The peso is weak because the dollar is strong! Tapos makikita mo presidente nagliliwaliw sa Singapore kasama ng anak nya at mga barkada nito. Mag trabaho ka naman! Wag puro pasarap!,,Text,10/11/2022 18:25,,Emotional,75,0,21,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-421,4/18/2023 11:56:00,https://twitter.com/sweet_jongsaeng/status/1579895731141324802,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@sweet_jongsaeng,Sweet,"bluejay ♡ sunkist (⁠˘⁠⌣⁠˘⁠ ⁠)               私はいつも気にかけている、愛

#always_together",Anonymous,8/21,1605,1043,,Ito po ang resulta ng wala ka ng mabibilhan na makakapagbigay ng saya katulad ng Jabee kaso nagmahal na siya kasi nga The peso ₱₱ is not weak 🙅‍♀️😩 because the peso ₱₱ is weak😪. The peso ₱₱ is weak 🥱😫 because the dollar 💵🤑 is strong 💪💪.,,"Text,Quote",10/11/2022 18:04,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,,,https://twitter.com/AltStarMagic/status/1579736320091774976,,
45-423,4/18/2023 11:56:55,https://twitter.com/favehoonist/status/1579891559524245505,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@favehoonist,gel ୨♡୧ manilafesto pcd,"⋆ ˚｡⋆୨♡ she | her • enha bts nj ♡୧⋆ ˚｡⋆                      
ʚ ᜊ ɞ૮₍ •. • ⑅₎ა ♡🐾🐾♡૮₍⑅•. • ₎აʚ ᜊ ɞ",Anonymous,9/20,989,2756,will see enha again soon!,The peso is not weak because the peso is weak. The peso is weak because the dollar is strong. https://t.co/2kOkDiU0AQ,,"Text,Image",10/11/2022 17:47,,"Rational,Emotional",1,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-424,4/18/2023 11:57:48,https://twitter.com/libsofvorz/status/1579888047025315841,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@libsofvorz,Libs of Vorz,"Independent random world event journalist, crypto, climate change, with humor. All contents credit to their respective owners. libsofvorz@gmail.com. DM inquiry.",Media,8/22,76,101,Heaven Metaverse,1st District Representative of Ilocos Norte Sandro Marcos spoke out about the peso dollar rate. 'Peso is not weak because peso is weak'. 'The Peso is weak because the dollar is strong'. https://t.co/jeXk9EVxm8,,"Text,Video",10/11/2022 17:33,,Rational,36,3,15,7,Unidentified,NEED CONTEXT,,,No Quoted,,
45-426,4/18/2023 11:58:42,https://twitter.com/xianwanders/status/1579880683752673280,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@xianwanders,xianwanders,le petit prince 🤴,Anonymous,6/20,124,17,In Your Area,the peso is the weak. the dollar is the strong. 😝,,Text,10/11/2022 17:04,,"Rational,Emotional",0,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-427,4/18/2023 12:00:01,https://twitter.com/inquirerdotnet/status/1579879737324756995,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@inquirerdotnet,Inquirer,"Balanced News, Fearless Views. inquirer.net",Media,8/7,1810,3731332,"Makati City, Philippines","#ICYMI: ""The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong,"" Marcos said. https://t.co/yx8Dhz4kbx",,"Text,URL",10/11/2022 17:00,,Rational,64,62,13,22,Unidentified,NEED CONTEXT,,,No Quoted,,
45-429,4/18/2023 12:02:05,https://twitter.com/markrossimo/status/1579877742228647936,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@markrossimo,Mark Rossimo,Move Forward but Never Forget | 1 of 15M | Bank Professional | Data Science | WFM,Identified,9/4,765,2582,"Manila, Philippines","BBM: We have no territorial conflict with China. What we have is China claiming territory that belongs to the Philippines.

Sandro: The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.

Imee: Never seen GOLD!

Imelda: We have 7000 tons!",,Text,10/11/2022 16:53,,Emotional,11,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-430,4/18/2023 12:03:03,https://twitter.com/ownustars/status/1579869732937031680,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@ownustars,mina 📚,gaslight gatekeep gam3bo1,Anonymous,4/22,586,609,"she/her, not a minor",the peso is not weak because the peso is weak the peso is weak because the dollar is strong,,Text,10/11/2022 16:21,,Rational,0,1,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-431,4/18/2023 12:03:50,https://twitter.com/dolpe17/status/1579866111696244737,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@dolpe17,rddd,,Anonymous,9/18,34,57,,"peso not weak, dollar is strong 🫶🏻🫶🏻🫶🏻",,Text,10/11/2022 16:06,,"Rational,Emotional",1,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-432,4/18/2023 12:06:23,https://twitter.com/dipshit_04/status/1579864192634728448,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@dipshit_04,🖾,Lvl 18 | A failure | Waiting for death to come and take me. | SO MUCH CANCEEER,Anonymous,4/21,1753,45,in your walls,"""The peso is not weak because the peso is weak. The peso is weak because the dollar is strong."" https://t.co/1nF6PhgCXw",,"Text,Image",10/11/2022 15:59,,"Rational,Emotional",1,1,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-434,4/18/2023 12:07:40,https://twitter.com/neenuh_r/status/1579861082700906502,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@neenuh_r,naaani??? #NeverAgain,JOIN NDMOs! // @cfmqz makes me feel all warm and fuzzy inside.,Anonymous,1/18,329,329,2600,"not gonna lie tho.. if you read the whole article, may point ata si s4ndro sa ""peso is weak because the dollar is strong"" statement niya",,Text,10/11/2022 15:46,,Rational,4,1,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-440,4/18/2023 12:16:59,https://twitter.com/PeterSerrano888/status/1579853862998941696,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@PeterSerrano888,Peter Serrano,"Actor, Teacher, Thinker and Lover of Life.",Identified,11/5,570,6950,"Quezon City, Philippines","""The peso is weak because the dollar is strong"" statement ni Sandro that the eedyots picked up without listening to the whole beat is a sign of their unending idiocy.  Wag nyo igaya kay @lenirobredo si Sandro. Her LUGAW BRAIN is phenomenal.",,Text,10/11/2022 15:18,,Emotional,6,0,1,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-443,4/18/2023 12:19:41,https://twitter.com/News5PH/status/1579850954840887296,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@News5PH,News5,The Official Twitter account of News5 📲FB/IG/YT/TikTok: @News5Everywhere 📧: News5Aksyon@news5.com.ph,Media,10/4,2132,707683,Philippines,"""THE PESO IS WEAK BECAUSE THE DOLLAR IS STRONG.""

Sa isang press briefing, ipinaliwanag ni Ilocos Norte 1st District Rep. Sandro Marcos kung bakit patuloy ang pagsadsad ng halaga ng piso kontra dolyar. #News5 

WATCH: https://t.co/ubysWYBNEl https://t.co/3jBjGPKVbj",,"Text,URL",10/11/2022 15:06,,Rational,7,6,0,3,Unidentified,NEED CONTEXT,,,No Quoted,,
45-449,4/18/2023 12:27:59,https://twitter.com/radikalchick/status/1579843965733306368,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@radikalchick,katrinastuartsantiago,"writer. 
@AWID Feminist Journalist Project, cohort 2021.
katrinasantiago.com since 2008.
📖  author: Of Love and Other Lemons. bit.ly/buyloveandlemo…",Identified,9/5,584,4060,Philippines,"So today we were told that the rising prices are okay, and are in fact necessary, and the peso is not weak, it's just that the dollar is strong. It's a good day.",,Text,10/11/2022 14:38,,Rational,4,0,1,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-453,4/18/2023 12:30:55,https://twitter.com/tinytheo/status/1579842622499487745,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@tinytheo,Theo Chua,Gamer. Cinephile. Super Hero In Training. The Ilonggeek,Identified,9/6,767,253,Philippines,TLDR: weak peso is caused by strong US dollar. Yan lang dapat. 😅,,"Text,Quote",10/11/2022 14:33,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,,,https://twitter.com/inquirerdotnet/status/1579829265058918401,,
45-457,4/18/2023 12:35:21,https://twitter.com/noelwee/status/1579840751072333825,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@noelwee,Nowee's Paperbags & Tablenapkins 🤧,Esports is life | #TSM Fan since 2012 LoLS2 | fb.me/NoweesMilkTeaI…,Anonymous,11/10,1596,647,Philippines,"Sandro's statement that ""THE PESO IS WEAK BECAUSE THE DOLLAR IS STRONG"" is clickbait on media's end

tbf, he explains and seems to understand the currency situation fairly well

he's already probably smarter and makes more sense than his dad lmao",,Text,10/11/2022 14:26,,Rational,8,3,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-461,4/18/2023 12:41:08,https://twitter.com/cebudailynews/status/1579837830653566976,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@cebudailynews,CDN Digital,The official Twitter account of Cebu's only independent digital news portal.,Media,9/6,669,372059,"Cebu, Philippines","THE PESO IS NOT WEAK BECAUSE THE PESO IS WEAK.'

Ilocos Norte 1st District Rep. Sandro Marcos claimed that the Philippine peso is currently in a downfall because the US dollar is just so strong now. | https://t.co/X1mtCxpmDT

READ: https://t.co/Rf6iwIojtF https://t.co/Y811uAZoxT",,"Text,Image,URL",10/11/2022 14:14,,Rational,5,3,1,6,Unidentified,NEED CONTEXT,,,No Quoted,,
45-468,4/18/2023 12:44:04,https://twitter.com/inquirerdotnet/status/1579829265058918401,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@inquirerdotnet,Inquirer,"Balanced News, Fearless Views. inquirer.net",Media,8/7,1810,3731332,"Makati City, Philippines","THE PESO IS NOT WEAK BECAUSE THE PESO IS WEAK.'

Ilocos Norte 1st District Rep. Sandro Marcos claimed that the Philippine peso is currently in a downfall because the US dollar is just so strong now.

READ: https://t.co/zh9syUeI1L https://t.co/7GCWE4grgZ",,"Text,Image,URL",10/11/2022 13:40,,Rational,415,205,46,344,Unidentified,NEED CONTEXT,,,No Quoted,,
45-471,4/18/2023 12:44:48,https://twitter.com/Punseee/status/1579823394706817024,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@Punseee,lilo,fueled by Christ ; made of love ⭐,Anonymous,7/15,734,1003,,the peso is weak bc the dollar is strong 🤩😖🥺😣🙏 - boss lodi sandro marcos 🥰😴❤️😎,,Text,10/11/2022 13:17,,"Rational,Emotional",5,2,0,0,Unidentified,NEED CONTEXT,,,https://twitter.com/lakwatsarah/status/1579753618265497601,,
45-479,4/18/2023 12:48:13,https://twitter.com/inquirerdotnet/status/1579815664701026304,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@inquirerdotnet,Inquirer,"Balanced News, Fearless Views. inquirer.net",Media,8/7,1810,3731332,"Makati City, Philippines","Marcos: “The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong.” | @GabrielLaluINQ https://t.co/uO58jXalZF",,"Text,Image,URL",10/11/2022 12:46,,Rational,1960,538,198,1013,Unidentified,NEED CONTEXT,,,No Quoted,,
45-480,4/18/2023 12:48:32,https://twitter.com/vapjr/status/1579813220470362113,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@vapjr,jrtippingpoint🔴🟢,Health&WellthEnthusiast.Judge Actions Not Intentions. Its awesome when you are Decisive.,Anonymous,9/6,2164,2203,US of A,"RP economy is stable and strong, bcoz of these the peso has not weakened. The peso is seemingly weaker bcoz  exchange rate with the dollar is higher, but its due to the STRENGTH  o d US DOLLAR &amp; its HIGH INTEREST rate, NOT  BCOZ  RP ECONOMY IS WEAK causing d fall of d peso.",,Text,10/11/2022 12:36,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-481,4/18/2023 23:41:11,https://twitter.com/_nickontwt/status/1579813122160078848,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@_nickontwt,nick,no,Anonymous,10/20,160,178,,"As much as I don't like this guy, what he's saying is true. The peso is weak because the dollar is strong. US is hiking its interest rates to defeat inflation. USD strengthens because it has become high-yielding, other currencies sink (Not just PHP, also EUR, JPY, etc.)",,"Text,Quote",10/11/2022 12:36,,Rational,8,0,1,0,Unidentified,NEED CONTEXT,,,https://twitter.com/iMPACTPH2019/status/1579754408333967361,,
45-488,4/18/2023 23:43:02,https://twitter.com/vanesashii/status/1579804862141075460,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@vanesashii,vanesa,Kdramas. Writing. Cats. Tech. Bad Puns.,Anonymous,8/13,89,129,,"Okay Sandro let's get to the bottom of this. Granted that the peso is weak, not because it's weak but because the dollar is strong. The question still remains: What is the current administration doing to atleast alleviate it's impact on the poor masses?",,Text,10/11/2022 12:03,,Transactional,1,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-497,4/18/2023 23:44:39,https://twitter.com/wendingakasi/status/1579796764449976320,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@wendingakasi,wendy ✨,roleplay. because i know we're written in the stars.,Anonymous,11/21,360,379,,because i would like to make one thing clear… the peso is not weak because the peso is weak. the peso is weak because the dollar is strong.,,"Text,Quote",10/11/2022 11:31,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,,,https://twitter.com/maobabie/status/1579562895285055489,,
45-500,4/18/2023 23:45:40,https://twitter.com/walf_/status/1579792984891351040,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@walf_,\🐺\ᜉᜎᜓᜋᜇ᜔ 🕊️🛖,"i am a lone wolf in a dovecote / technologist / i love coding, piano, singing, nature, photography / PHI 🇵🇭💚🏞️🏝️🎹",Anonymous,9/7,1163,407,Makati | Bacolod | Philippines,Peso (our own currency) is getting weak because the dollar is getting strong as it is a safety net for many other currencies. He has a point and I don't blame him. He actually makes sense. Some people convert their currencies to dollar. The global market is trading in dollar.,,"Text,Quote",10/11/2022 11:16,,Rational,1,1,1,0,Unidentified,NEED CONTEXT,,,https://twitter.com/iMPACTPH2019/status/1579754408333967361,,
45-507,4/18/2023 23:48:26,https://twitter.com/Patatased/status/1579788232899690496,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@Patatased,jdefg,,Anonymous,2/20,122,65,"Lopez, Calabarzon","“I would like to make one thing clear... the peso is not weak because the peso is weak. The peso is weak because the dollar is strong.”

Yes",,Text,10/11/2022 10:57,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
